id1,id2
MD.model.ptg000007l.1091,ptg000007lG000928
MD.model.ptg000007l.1092,ptg000007lG000929
MD.model.ptg000007l.1093,ptg000007lG000930
MD.model.ptg000007l.1094,ptg000007lG000931
MD.model.ptg000007l.1095,ptg000007lG000932
MD.model.ptg000007l.1097,ptg000007lG000934
MD.model.ptg000007l.1099,ptg000007lG000936
MD.model.ptg000007l.110,ptg000007lG000085
MD.model.ptg000007l.1100,ptg000007lG000937
MD.model.ptg000007l.1101,ptg000007lG000938
MD.model.ptg000007l.1102,ptg000007lG000939
MD.model.ptg000007l.1103,ptg000007lG000940
MD.model.ptg000007l.1104,ptg000007lG000941
MD.model.ptg000007l.1106,ptg000007lG000943
MD.model.ptg000007l.1107,ptg000007lG000944
MD.model.ptg000007l.1108,ptg000007lG000945
MD.model.ptg000007l.1109,ptg000007lG000946
MD.model.ptg000007l.1110,ptg000007lG000947
MD.model.ptg000007l.1111,ptg000007lG000948
MD.model.ptg000007l.1112,ptg000007lG000949
MD.model.ptg000007l.1113,ptg000007lG000950
MD.model.ptg000007l.1114,ptg000007lG000951
MD.model.ptg000007l.1115,ptg000007lG000952
MD.model.ptg000007l.1116,ptg000007lG000953
MD.model.ptg000007l.1117,ptg000007lG000954
MD.model.ptg000007l.1118,ptg000007lG000955
MD.model.ptg000007l.1119,ptg000007lG000956
MD.model.ptg000007l.112,ptg000007lG000086
MD.model.ptg000007l.1120,ptg000007lG000957
MD.model.ptg000007l.1121,ptg000007lG000958
MD.model.ptg000007l.1122,ptg000007lG000959
MD.model.ptg000007l.1123,ptg000007lG000960
MD.model.ptg000007l.1124,ptg000007lG000961
MD.model.ptg000007l.1125,ptg000007lG000962
MD.model.ptg000007l.1126,ptg000007lG000963
MD.model.ptg000007l.1127,ptg000007lG000964
MD.model.ptg000007l.1129,ptg000007lG000965
MD.model.ptg000007l.1130,ptg000007lG000966
MD.model.ptg000007l.1131,ptg000007lG000967
MD.model.ptg000007l.1132,ptg000007lG000968
MD.model.ptg000007l.1134,ptg000007lG000969
